ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
2272996,HH552624,08/02/2002 11:00:00 AM,006XX N PARKSIDE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,1511,015,29,25,08B,,,2002,02/04/2016 06:33:39 AM,,,
3155519,HK151333,01/28/2004 06:30:00 PM,109XX S EDBROOKE AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,OTHER,false,false,0513,005,9,49,17,,,2004,02/04/2016 06:33:39 AM,,,
10110359,HY298984,06/13/2015 02:45:00 AM,0000X W ELM ST,0460,BATTERY,SIMPLE,TAVERN/LIQUOR STORE,true,false,1824,018,42,8,08B,1175930,1908090,2015,08/17/2015 03:03:40 PM,41.90316534,-87.629210442,"(41.90316534, -87.629210442)"
2811494,HJ466620,07/01/2003 08:30:00 PM,032XX S RIDGEWAY AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,true,false,1031,010,22,30,26,,,2003,02/04/2016 06:33:39 AM,,,
6568980,HP640465,10/21/2008 06:30:00 PM,022XX W 37TH ST,2026,NARCOTICS,POSS: PCP,STREET,true,false,0913,009,11,59,18,1161852,1880103,2008,02/04/2016 06:33:39 AM,41.826671796,-87.681701933,"(41.826671796, -87.681701933)"
9040862,HW187408,03/07/2013 12:00:00 PM,034XX W 77TH ST,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",false,false,0835,008,18,70,08B,1154616,1853337,2013,02/04/2016 06:33:39 AM,41.753369537,-87.708962817,"(41.753369537, -87.708962817)"
3382548,HK430999,06/12/2003 05:00:00 PM,054XX S WINCHESTER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0915,009,16,61,14,,,2003,02/04/2016 06:33:39 AM,,,
1782278,G602584,10/07/2001 07:00:00 PM,005XX N MICHIGAN AV,0820,THEFT,$500 AND UNDER,STREET,false,false,1834,018,,,06,1177387,1903712,2001,08/17/2015 03:03:40 PM,41.891118961,-87.623991608,"(41.891118961, -87.623991608)"
3489467,HK563118,08/17/2004 01:00:00 AM,050XX W FLETCHER ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,2521,025,30,19,14,,,2004,02/04/2016 06:33:39 AM,,,
7370470,HS172519,02/19/2010 07:30:00 PM,019XX W 47TH ST,0560,ASSAULT,SIMPLE,RESTAURANT,true,false,0914,009,20,61,08A,1164254,1873508,2010,02/04/2016 06:33:39 AM,41.808524037,-87.673075344,"(41.808524037, -87.673075344)"
8703924,HV380302,07/13/2012 02:51:00 AM,106XX S STATE ST,1330,CRIMINAL TRESPASS,TO LAND,SMALL RETAIL STORE,false,false,0512,005,34,49,26,1178142,1834202,2012,02/04/2016 06:33:39 AM,41.700359791,-87.62332729,"(41.700359791, -87.62332729)"
2258709,HH526706,07/22/2002 02:25:53 AM,015XX N THROOP ST,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,1433,014,32,24,16,,,2002,02/04/2016 06:33:39 AM,,,
6109618,HP204597,03/02/2008 05:38:36 PM,064XX S PEORIA ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0723,007,16,68,08B,1171412,1862216,2008,02/04/2016 06:33:39 AM,41.77738364,-87.647152025,"(41.77738364, -87.647152025)"
4219151,HL537691,08/09/2005 09:34:40 AM,012XX S KEELER AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,false,false,1011,010,24,29,26,,,2005,02/04/2016 06:33:39 AM,,,
6047572,HP148714,01/28/2008 10:00:00 PM,054XX S WASHTENAW AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0911,009,14,63,07,1159299,1868437,2008,02/04/2016 06:33:39 AM,41.794711572,-87.691388167,"(41.794711572, -87.691388167)"
7726049,HS533917,09/25/2010 08:30:00 PM,063XX S ST LAWRENCE AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,SIDEWALK,true,false,0312,003,20,42,18,1181322,1863203,2010,02/04/2016 06:33:39 AM,41.779869327,-87.610791873,"(41.779869327, -87.610791873)"
2422448,HH740509,10/26/2002 09:21:27 PM,039XX S LANGLEY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0213,002,4,38,14,,,2002,02/04/2016 06:33:39 AM,,,
